Subject Area,Parent Type,Parent Name,Workflow/Worklet,Workflow Name/Worklet Name,Mapping Name,Session Name,Source/Target Instances,Reader/Writer(Session),Session Connection Type = Connection Value,Database Type(Mapping),Source/Target Type,Source/Target Table Name(Original),Property Name,Value,Initial Value From Mapping Parameter
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,tgt_TRIGGER_ff,HDFS Connection,Application=$AppConnection_HDFS,Flat File,Target,tgt_TRIGGER_ff,Hive Table Name,,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,tgt_TRIGGER_ff,HDFS Connection,Application=$AppConnection_HDFS,Flat File,Target,tgt_TRIGGER_ff,Append if Exists,NO,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,tgt_TRIGGER_ff,HDFS Connection,Application=$AppConnection_HDFS,Flat File,Target,tgt_TRIGGER_ff,Overwrite Hive Table,NO,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,tgt_TRIGGER_ff,HDFS Connection,Application=$AppConnection_HDFS,Flat File,Target,tgt_TRIGGER_ff,Reject File Path,$PMBadFileDir/$$Trigger_ERR_FILE,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,tgt_TRIGGER_ff,HDFS Connection,Application=$AppConnection_HDFS,Flat File,Target,tgt_TRIGGER_ff,Output File Path,$$Trigger_DIR/$$Trigger_FILE,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,tgt_TRIGGER_ff,HDFS Connection,Application=$AppConnection_HDFS,Flat File,Target,tgt_TRIGGER_ff,Externally Managed Hive Table,NO,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,tgt_TRIGGER_ff,HDFS Connection,Application=$AppConnection_HDFS,Flat File,Target,tgt_TRIGGER_ff,Repeat Null character,YES,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,tgt_TRIGGER_ff,HDFS Connection,Application=$AppConnection_HDFS,Flat File,Target,tgt_TRIGGER_ff,File Type,Fixed Width,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,tgt_TRIGGER_ff,HDFS Connection,Application=$AppConnection_HDFS,Flat File,Target,tgt_TRIGGER_ff,Null character, ,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,tgt_TRIGGER_ff,HDFS Connection,Application=$AppConnection_HDFS,Flat File,Target,tgt_TRIGGER_ff,Code Page,MS1252,
